Détecté dans le texte;Nom du fichier;CIE_NAME;N° Contrat;N°POLEDI;NB_POLEDIS
False;AVT_AXIA_1_2275176100010_1_7929822.pdf;AXA;;;0
True;SCHROLL_2257752420062_1.pdf;AXA;2257752420062;;0
False;AVT_CP_BEREST_BOURGOGNE_2263549430201_1_5966786.pdf;AXA;;;0
True;ALSAPAN_2840785140000_1.pdf;AXA;2840785140000;2840785140000E19;2
False;AVT_ACOUSTIQUE_INDUSTRIELLE_2263898110300_1_8810438.pdf;AXA;;;0
True;ELITT_2263281400000_1.pdf;AXA;2263281400000;2263281400000H43;2
True;J.LOHMULLER_2271794610501_1.pdf;AXA;2271794610501;2271794610501H47;2
False;AVT_CP_B_S_RECYCLAGE_2841491600901_1__8.426.695_.pdf;AXA;;;0
True;DIAMONDE_2840785140300_1.pdf;AXA;2840785140300;2840785140300F19;2
True;ANTIGONE_SARL_2258675400010_1.pdf;AXA;2258675400010;;0
True;BELLANGER_2313098000100_1.pdf;AXA;2313098000100;2313098000100C19;1
True;SIRMAT_2842454600065_1.pdf;AXA;2842454600065;;0
False;AVT_WEBSILOR_2261270100100_1_8666978_.pdf;AXA;;;0
False;AVT_CP_ALLIANCE_PRO_ENERGIES_2271794400300_1_7329064.pdf;AXA;;;0
True;DOCARINA_2312833020000_1.pdf;AXA;2312833020000;;0
True;LORTEL_EST_CABLES_2261270100000_1.pdf;AXA;2261270100000;;0
True;KAYME_2256420310001_1.pdf;AXA;2256420310001;;0
True;LOREX_2268504600001_1.pdf;AXA;2268504600001;2268504600001N11;1
True;NOUNOUS_ET_MERVEILLES_2261921400300_1.pdf;AXA;2261921400300;2261921400300P95;3
True;ALSACE_CONDITIONNEMENT_2845379410060_1.pdf;AXA;2845379410060;2845379410060J98;1
True;PALETTES_GESTION_SERVICES_2842057100000_1.pdf;AXA;2842057100000;2842057100000W19;2
True;ESL__NETWORK_FRANCE_2511949050000_1.pdf;AXA;2511949050000;2511949050000V;1
True;AFCE_FORMATION_2275781410000_1.pdf;AXA;2275781410000;2275781410000Z50;4
True;ASSOCIATION_SYNDICALE_CEN_2259051440000_1.pdf;AXA;2259051440000;2259051440000Z95;1
True;ORA_DEVELOPPEMENT_2261659400000_1.pdf;AXA;2261659400000;2261659400000E95;1
True;SIRMAT_2842454419051_1.pdf;AXA;2842454419051;;0
True;HYPERTAPIS_2275106100200_1.pdf;AXA;2275106100200;2275106100200H19;2
True;RGR_2258659110000_1.pdf;AXA;2258659110000;2258659110000W42;2
True;SARDI_2841491620401_1.pdf;AXA;2841491620401;2841491620401J19;2
True;F_GESTION_2511613020000_1.pdf;AXA;2511613020000;;0
True;L_OFFRE_PORTAGE_2270829610201_1.pdf;AXA;2270829610201;2270829610201N43;2
False;AVT_AXIA_8_2275176110080_1_7930131.pdf;AXA;;;0
False;AVT_CENT_FAMILLES_LAHAYE_2261650100300_1_6532486.pdf;AXA;;;0
True;ECOFLUIDE_2263300430000_1.pdf;AXA;2263300430000;2263300430000Q41;2
True;NEUTRALIS_2841491600601_1.pdf;AXA;2841491600601;2841491600601M50;1
False;AVT_CP_WOERNER_GMBH_2712482001700_1_5115792.pdf;AXA;;;0
True;ALSACE_CONDITIONNEMENT_2845379410052_1.pdf;AXA;2845379410052;2845379410052A95;2
True;PHARMACIE_HEILIGENSTEIN_2312865000200_1.pdf;AXA;2312865000200;2312865000200R19;2
True;SOCIETE_DES_MAGASINS_ECON_2263747100000_1.pdf;AXA;2263747100000;2263747100000K47;2
True;FRANDEMAR_2251229100000_1.pdf;AXA;2251229100000;;0
True;LA_CYMAISE___LOUVENCOURT_2006003179610_1.pdf;AXA;2006003179610;2006003179610D19;2
False;AVT_CP_BEREST_LORRAINE_2263549620301_1_5966885.pdf;AXA;;;0
True;MAISON_DE_LA_NOUVELLE_2265875400010_1.pdf;AXA;2265875400010;;0
True;PGS_SUD_OUEST_2842057111200_1.pdf;AXA;2842057111200;2842057111200V50;2
True;LUDWILLER_2271794610401_1.pdf;AXA;2271794610401;2271794610401Z47;2
True;INSTITUT_DE_FORMATION_DU_2713034000000_1.pdf;AXA;2713034000000;2713034000000W95;3
True;SCHROLL_2257752430000_1.pdf;AXA;2257752430000;2257752430000H47;2
True;IMARE_2251229100060_1.pdf;AXA;2251229100060;;0
False;ABRY_ARNOLD_2254585440001_1_FM_C_Option.pdf;AXA;;;0
False;AVT_CP_ARECO_2599772660000_1_5171718.pdf;AXA;;;0
True;CASTOR_INVEST_2308939000200_1.pdf;AXA;2308939000200;;0
True;PARENTHESE_2263549430401_1.pdf;AXA;2263549430401;;0
True;JEAN_AVIER_2510616640000_1.pdf;AXA;2510616640000;2510616640000G43;1
True;HERINDEL_2257622110100_1.pdf;AXA;2257622110100;2257622110100S11;5
False;AVT_CP_ARTENREEL_SARL_2258676400000_1_9159923.pdf;AXA;;;0
False;AVT_CP_CINQ_PLUS_SOULTZ_SOUS_2711100120570_1_5036643.pdf;AXA;;;0
False;BUREAUX_EUROPE_2263707410000_1_résilié.pdf;AXA;;;0
True;M.T.C._2310413027000_1.pdf;AXA;2310413027000;2310413027000;2
True;LUDWILLER_2271794400500_1.pdf;AXA;2271794400500;2271794400500V11;2
True;EST_ENTREPOT_CORGER_2983220400000_1.pdf;AXA;2983220400000;2983220400000M50;2
True;SIRMAT_2842454419052_1.pdf;AXA;2842454419052;2842454419052F98;1
True;RECOS_MACHINES_2257742440000_1.pdf;AXA;2257742440000;2257742440000M95;4
True;SKAYL_2271150610101_1.pdf;AXA;2271150610101;2271150610101Y16;2
True;RECOS_MACHINES_2257742640001_1.pdf;AXA;2257742640001;;0
True;RECYBIO_2841491620701_1.pdf;AXA;2841491620701;2841491620701K19;1
True;RUJ_EXPANSION_2254585440100_1.pdf;AXA;2254585440100;2254585440100G11;2
True;MATERIELS_FERROVIAIRES_2712482002900_1.pdf;AXA;2712482002900;2712482002900Z95;1
True;LOREX_2268504610001_1.pdf;AXA;2268504610001;2268504610001H47;2
False;AVT_CP_CITRAVAL___CTRE_INDUST_TR_2257761100000_1_8716397.pdf;AXA;;;0
True;HTC_DEVELOPPEMENT_2840924400205_1.pdf;AXA;2840924400205;;0
True;OFFICE_DU_TOURISME_DES_2959846100000_1.pdf;AXA;2959846100000;;0
True;SCHROLL_2257752430008_1.pdf;AXA;2257752430008;;0
True;SIRMAT_2842454400063_1.pdf;AXA;2842454400063;;0
True;RECOSTRA_2257752431000_1.pdf;AXA;2257752431000;2257752431000U47;2
True;LABORATOIRES_BERNABEU_2258035410001_1.pdf;AXA;2258035410001;;0
True;SIRMAT_2842454400013_1.pdf;AXA;2842454400013;;0
False;AVT_CP_CINQ_PLUS_MOLSHEIM_2711100120520_1_5036636.pdf;AXA;;;0
False;AVT_COOPENATES_SARL_2258677110000_1_7738876.pdf;AXA;;;0
False;AVT_CP_CITRAVAL___CTRE_INDUST_2841491600551_1_8426665.pdf;AXA;;;0
True;SOFICO_FRANCE_2841058420050_1.pdf;AXA;2841058420050;2841058420050M19;5
False;YPO_CAMP_LOISIRS_2260338410301_1_ABS.pdf;AXA;;;0
True;EUROPEAN_SCIENCE_2844016400050_1.pdf;AXA;2844016400050;2844016400050P95;2
True;JEANNIOT_GESTION_2260338410001_1.pdf;AXA;2260338410001;;0
True;LOFFRE_PARTAGEE_2272411600002_1.pdf;AXA;2272411600002;2272411600002U16;2
True;POLISSA_2000148594710_1.pdf;AXA;2000148594710;2000148594710P19;1
True;PGS_NORD_2842057100900_1.pdf;AXA;2842057100900;2842057100900A19;2
False;AVT_COUTIER_INDUSTRIE_2275104110000_1_8511420.pdf;AXA;;;0
True;L_OFFRE_PORTAGE_2270829600101_1.pdf;AXA;2270829600101;2270829600101K16;2
True;ELECTRO_MENAGER_2268735610011_1.pdf;AXA;2268735610011;2268735610011A98;1
False;AVT_CARROSSERIE_INDUSTRIELLE_2027201102720_1_613479.pdf;AXA;;;0
False;AVT_AXIA_62_2275176110200_1_7930417.pdf;AXA;;;0
True;JUDICIA_CONSEILS_2263806400010_1.pdf;AXA;2263806400010;2263806400010S65;1
True;F.F.F._FEDERATION_2284417500020_1.pdf;AXA;2284417500020;;0
True;RECOS_MACHINES_2257742100000_1.pdf;AXA;2257742100000;2257742100000W16;2
True;GEZIM_INTERIM_2269512100000_1.pdf;AXA;2269512100000;2269512100000H16;2
False;AVT_COOPENATES_SARL_2258677120000_1_7738887.pdf;AXA;;;0
True;ELECTRO_MENAGER_2268735410000_1.pdf;AXA;2268735410000;;0
False;AVT_CP_ADIT_2270603400000_1_9019353.pdf;AXA;;;0
True;STIEBEL_ELTRON_2843891400050_1.pdf;AXA;2843891400050;2843891400050Z98;4
True;ELECTRO_MENAGER_2268735410011_1.pdf;AXA;2268735410011;;0
True;CESAR_2000143063610_1.pdf;AXA;2000143063610;;0
False;AVT_CP_ASCENCEURS__MULTI_2275077400050_1_7887233.pdf;AXA;;;0
False;AVT_CENT_FAMILLES_LAHAYE_2261650100100_1_6532451.pdf;AXA;;;0
True;RECOSTRA_2841491621051_1.pdf;AXA;2841491621051;;0
False;AVT_CP_A.W._FABER_CASTELL_2263190600051_1_8544501.pdf;AXA;;;0
False;AVT_CHIRAL_TECHNOLOGIES_2251855100000_1_4846649.pdf;AXA;;;0
True;LOCATION_TRANSPORT_FONTOY_2265554100000_1.pdf;AXA;2265554100000;2265554100000U16;2
True;PARENTHESE_2263549630401_1.pdf;AXA;2263549630401;2263549630401R47;3
False;AVT_CP_DECIBEL_FRANCE_2263898400400_1_8809926.pdf;AXA;;;0
True;SCHROLL_2257752100000_1.pdf;AXA;2257752100000;2257752100000M47;2
True;SCHOELLER_INDUSTRIES_2251840200000_1.pdf;AXA;2251840200000;2251840200000B95;2
True;JUDICIA_CONSEILS_2263806600001_1.pdf;AXA;2263806600001;2263806600001Z95;2
False;AVT_CP_VOB_2265716600002_1_6442122.pdf;AXA;;;0
True;DELTICO_2251229100130_1.pdf;AXA;2251229100130;;0
True;PGS_ARNAUD_2842057100400_1.pdf;AXA;2842057100400;2842057100400G19;2
True;PHICA_2264152400000_1.pdf;AXA;2264152400000;2264152400000N11;1
False;AVT_CP_CINQ_PLUS_EXPERTISE_2711100120597_1_8557631.pdf;AXA;;;0
True;SKAYL_2271150410100_1.pdf;AXA;2271150410100;2271150410100F16;3
False;AVT_CP_TRANSPORTS_KLEIN_SA_2840528410050_1_8347645.pdf;AXA;;;0
True;GO_MONDE_2713914000002_1.pdf;AXA;2713914000002;;0
True;BABYLANGUES_ET_COMPAGNIE_2261921400100_1.pdf;AXA;2261921400100;2261921400100W95;3
True;SCHROLL_2257752420000_1.pdf;AXA;2257752420000;2257752420000N11;2
False;AVT_ARTENREEL_SARL_2258676120000_1_7742631.pdf;AXA;;;0
False;AVT_CP_WEIGERDING_HOLDING_2267193420050_1_8906282.pdf;AXA;;;0
True;TRANSCONSEIL_ASSURANCES_2510909280001_1.pdf;AXA;2510909280001;;0
True;FINCKE_GMBH_REPRESENTEE_2712482003300_1.pdf;AXA;2712482003300;2712482003300J19;1
True;SOFICO_FRANCE_2841058420060_1.pdf;AXA;2841058420060;2841058420060Y19;4
False;AVT_CHARPALOR_2262485410011_1_9304307.pdf;AXA;;;0
True;JEANNIOT_GESTION_2260338410000_1.pdf;AXA;2260338410000;;0
True;L_OFFRE_PARTAGEE_2270829610101_1.pdf;AXA;2270829610101;2270829610101E43;2
False;AVT_CABINET_J.C._SCHMITT_2985610100000_1_7738530.pdf;AXA;;;0
True;GROUPE_ADIT_2270603400300_1.pdf;AXA;2270603400300;2270603400300L95;3
True;EDICOURTAGE_2263546400000_1.pdf;AXA;2263546400000;2263546400000L95;1
True;PGS_ARNAUD_2842059410000_1.pdf;AXA;2842059410000;2842059410000R95;2
True;SCHROLL_2841916600064_1.pdf;AXA;2841916600064;;0
True;PGS_NORD_2842057110800_1.pdf;AXA;2842057110800;2842057110800L50;2
False;AVT_AXIA_6_2275176100060_1_7929992.pdf;AXA;;;0
True;PGS_CENTRE_2842057110500_1.pdf;AXA;2842057110500;2842057110500K50;2
True;SODEXPO_2967101200000_1.pdf;AXA;2967101200000;;0
True;FININCO_2842057111300_1.pdf;AXA;2842057111300;2842057111300E50;1
True;ETABLISSEMENTS_HUOT_2271750400010_1.pdf;AXA;2271750400010;2271750400010B36;1
True;EURODIC_2509695960000_1.pdf;AXA;2509695960000;2509695960000B42;1
True;PGS_PERURENA_2842059100200_1.pdf;AXA;2842059100200;2842059100200C50;2
True;SCHOELLER_INDUSTRIES_2270678600001_1.pdf;AXA;2270678600001;2270678600001R95;2
True;GROUPE_ABRY_ARNOLD_2431554510000_1.pdf;AXA;2431554510000;2431554510000F36;1
True;SINBIO_SCOP_2253967120000_1.pdf;AXA;2253967120000;2253967120000R50;2
False;AVT_AXIA_11_2275176100110_1_7930240.pdf;AXA;;;0
True;SIRMAT_2842454619053_1.pdf;AXA;2842454619053;2842454619053Z98;1
True;SCHROLL_2841491620066_1.pdf;AXA;2841491620066;;0
True;SKAYL_2271150400101_1.pdf;AXA;2271150400101;2271150400101M43;3
True;FILPACK_PROTECTION_2266127100200_1.pdf;AXA;2266127100200;2266127100200Z11;1
False;AVT_C.RI.FI_2599779430000_1_5194989.pdf;AXA;;;0
False;AVT_CITRAVAL___CTRE_INDUST_TR_2257752110500_1_5920527.pdf;AXA;;;0
True;COLDIS_2840810400050_1.pdf;AXA;2840810400050;2840810400050F50;1
True;PGS_NORMANDIE_2842057101000_1.pdf;AXA;2842057101000;2842057101000J19;1
True;BERMANS_OPTIC_2000148993010_1.pdf;AXA;2000148993010;;0
True;SCHROLL_2841491629052_1.pdf;AXA;2841491629052;2841491629052M98;3
False;AVT_WEIGERDING_HOLDING_2266555110000_1_8906177.pdf;AXA;;;0
True;SIRMAT_2842454409002_1.pdf;AXA;2842454409002;2842454409002H98;1
True;SOCIETE_DACOUSTIQUE_2263898400100_1.pdf;AXA;2263898400100;2263898400100Q95;2
True;LOCATION_TRANSPORT_FONTOY_2265554420000_1.pdf;AXA;2265554420000;;0
True;SIRMAT_2842454400062_1.pdf;AXA;2842454400062;;0
True;MATHLAU_MARIVAL_2264142400001_1.pdf;AXA;2264142400001;2264142400001Z47;2
False;AVT_CP_DEMENAGEMENTS_LUX_ROLAND_2713474002000_1_8088824.pdf;AXA;;;0
True;SCHROLL_2257752430010_1.pdf;AXA;2257752430010;;0
False;AVT_ALTEM___ALSACIENNE_DE_TRI_2257752110300_1_5919651.pdf;AXA;;;0
True;FONDATION_EUROPEENNE_DE_L_2260579110000_1.pdf;AXA;2260579110000;2260579110000T11;2
False;AVT_CP_CORREGE_2256419200000_1_5051132.pdf;AXA;;;0
True;CABT_CESAR_2006003404510_1.pdf;AXA;2006003404510;2006003404510K65;1
True;SCHROLL_2257752420011_1.pdf;AXA;2257752420011;;0
False;AXIA_2_2275176100230_1.pdf;AXA;;;0
False;AVT_CP_CINQPLUS_HAGUENAU_2711100120500_1_5036596.pdf;AXA;;;0
True;LOUIS_SCHROLL_2257752110200_1.pdf;AXA;2257752110200;2257752110200Z11;2
True;GROUPE_HERINDEL_2257622110000_1.pdf;AXA;2257622110000;2257622110000J11;4
True;SANOLEC_2259653400000_1.pdf;AXA;2259653400000;2259653400000W11;1
True;TRANSCONSEIL_ASSURANCES_2282275540000_1.pdf;AXA;2282275540000;;0
False;ABRY_ARNOLD_2254585430000_1_FM_NC_Base.pdf;AXA;;;0
True;ASSOCIATION_SYNDICALE_CEN_2259051150000_1.pdf;AXA;2259051150000;2259051150000G95;1
True;SOLARWATT_FRANCE_2253703210000_1.pdf;AXA;2253703210000;;0
True;COROU_2263748100000_1.pdf;AXA;2263748100000;2263748100000R47;2
True;GROUPE_ADIT_2259939100300_1.pdf;AXA;2259939100300;2259939100300B11;1
True;PGS_SPB_2842059610402_1.pdf;AXA;2842059610402;2842059610402U95;2
True;ALLS_LOGISTIQUE_2264136400301_1.pdf;AXA;2264136400301;2264136400301L95;5
True;SIRMAT_2842454409053_1.pdf;AXA;2842454409053;2842454409053N98;1
False;AVT_CP_WEBSILOR_2261270410100_1_8666158.pdf;AXA;;;0
False;AVT_CP_CORREGE_2256419600001_1_9208013.pdf;AXA;;;0
True;EDITIONS_CLAUDE_VERVIN_2268275609006_1.pdf;AXA;2268275609006;2268275609006H98;1
True;STAR_PARIS_2262484400000_1.pdf;AXA;2262484400000;;0
False;AVT_AXIA_16_2275176100160_1_7930629.pdf;AXA;;;0
True;SHERPA_MOBILE_ROBOTICS_2309600110410_1.pdf;AXA;2309600110410;2309600110410R50;2
True;HERLI_2263163430000_1.pdf;AXA;2263163430000;2263163430000W11;2
True;FORMACOOP_2262643100000_1.pdf;AXA;2262643100000;2262643100000K11;2
False;AVT_WEIGERDING_HOLDING_2266555120000_1_8906262.pdf;AXA;;;0
False;AVT_CP_CINQ_PLUS_SOLUTIONS_ET_2711100120590_1_5036660.pdf;AXA;;;0
True;ELITT_2263281410000_1.pdf;AXA;2263281410000;2263281410000C16;2
False;AVT_CP_BEREST_RHIN_RHONE_2263549420100_1_5966617.pdf;AXA;;;0
True;AND_1378800550000_1.pdf;AXA;1378800550000;;0
True;SALVAGGIO_MANAGEMENT_2264321400200_1.pdf;AXA;2264321400200;2264321400200H95;2
False;AVT_CP_CINQ_PLUS_STASBOURG_2711100120510_1_5036643.pdf;AXA;;;0
True;W.P.P._AGENCY_2000148564110_1.pdf;AXA;2000148564110;2000148564110D19;2
True;PGS_ILE_DE_FRANCE_2842057100800_1.pdf;AXA;2842057100800;2842057100800R19;2
True;VARITRONIX_FRANCE_SAS_2006002368610_1.pdf;AXA;2006002368610;2006002368610G19;2
False;ADIT_2270603400010_1_ABS.pdf;AXA;;;0
True;PGS_SPB_2842059410400_1.pdf;AXA;2842059410400;2842059410400B95;2
True;STRUB_2840785140600_1.pdf;AXA;2840785140600;2840785140600G19;2
False;AVT_CP_CITRAVAL___CTRE_INDUST_TR_2257752420500_1_5920552.pdf;AXA;;;0
True;TMI_MULTIPLAST_2275225400051_1.pdf;AXA;2275225400051;2275225400051J95;3
False;AVT_CP_B_S_RECYCLAGE_2841491620901_1_8.370.566_.pdf;AXA;;;0
False;AVT_CP_BEREST_LORRAINE_2263549420301_1_5966833.pdf;AXA;;;0
True;LA_VINOTHEQUE_DU_LYS_2510538260000_1.pdf;AXA;2510538260000;2510538260000E42;1
False;PARENTHESE_2263549420401_C_FS_2025_MAINTIEN_R_20241121.pdf;AXA;;;0
False;AVT_CENT_FAMILLES_LAHAYE_2261650100200_1_6532467.pdf;AXA;;;0
True;LOREX_2260642100000_1.pdf;AXA;2260642100000;2260642100000E11;1
False;AVT_B_S_RECYCLAGE_2257752100600_1_8719822.pdf;AXA;;;0
True;SCHROLL_2257752110000_1.pdf;AXA;2257752110000;2257752110000G11;2
False;AVT_CP_ADIT_2270603400005_1_9019454.pdf;AXA;;;0
False;AVT_COOPRODUCTION_2262644110000_1_7737682.pdf;AXA;;;0
False;AVT_AXIA_7_2275176110070_1_7930072.pdf;AXA;;;0
True;YUZER_2258678400000_1.pdf;AXA;2258678400000;2258678400000N95;4
False;AVT_CP_CITRAVAL___CTRE_INDUST_2841491620501_1_8370543.pdf;AXA;;;0
True;SCHROLL_2841491600001_1.pdf;AXA;2841491600001;2841491600001K50;2
True;RGR_2258659120000_1.pdf;AXA;2258659120000;2258659120000R41;2
True;ALSACE_CONDITIONNEMENT_2845379410062_1.pdf;AXA;2845379410062;2845379410062L98;1
True;F.F.F._FEDERATION_2711703000000_1.pdf;AXA;2711703000000;2711703000000R95;2
True;JOBECA_DISTRIBUTION_2258849400000_1.pdf;AXA;2258849400000;2258849400000D95;2
False;EUROMAC_2_2271103410051_1.pdf;AXA;;;0
True;L_OFFRE_PORTAGE_2840284100000_1.pdf;AXA;2840284100000;2840284100000J19;2
True;SIRMAT_2842454400051_1.pdf;AXA;2842454400051;;0
True;S.I.S._2000146576310_1.pdf;AXA;2000146576310;2000146576310B19;2
False;AVT_CP_BEREST_BOURGOGNE_2263549630202_1_5966799.pdf;AXA;;;0
False;AVT_CP_DEMENAGEMENTS_LUX_ROLAND_2713474000000_1_5116990.pdf;AXA;;;0
False;AVT_CL2R_INDUSTRIAL_SOLUTIONS_2263898120600_1_9084569.pdf;AXA;;;0
False;AVT_CP_BEREST_LORRAINE_2263549630302_1_5966886.pdf;AXA;;;0
False;AVT_CP_TMI_MULTIPLAST_2275225400051_1_8086405.pdf;AXA;;;0
False;AVT_CP_BUILD_ING_2840924600001_1_8382767.pdf;AXA;;;0
True;MIROITERIE_BRUGNON_FRERES_2000146715910_1.pdf;AXA;2000146715910;2000146715910Q19;1
False;EUROMAC_2_2271103130000_1.pdf;AXA;;;0
True;LOUIS_SCHROLL_2257752420200_1.pdf;AXA;2257752420200;2257752420200F11;2
True;HTC_DEVELOPPEMENT_2840924400200_1.pdf;AXA;2840924400200;2840924400200M95;2
True;ALLS_LOGISTIQUE_2264136110300_1.pdf;AXA;2264136110300;2264136110300S11;2
True;SATE_2263898120000_1.pdf;AXA;2263898120000;2263898120000J11;2
True;SCHROLL_2257752420001_1.pdf;AXA;2257752420001;2257752420001P11;2
False;AVT_ANCREST_2263442110000_1_8581901.pdf;AXA;;;0
True;ELECTRO_MENAGER_2268734110000_1.pdf;AXA;2268734110000;2268734110000D11;2
True;PASSEMENTERIE_VERRIER_2514493851000_1.pdf;AXA;2514493851000;;0
False;AVT_AXIA_12_2275176110120_1_7930445.pdf;AXA;;;0
True;SAGE_DIST_2258134400000_1.pdf;AXA;2258134400000;;0
True;CAFES_SATI_2272479600002_1.pdf;AXA;2272479600002;2272479600002N47;2
True;LJL_SAS_2256423600001_1.pdf;AXA;2256423600001;2256423600001Z11;3
True;ALLS_LOGISTIQUE_2264136120300_1.pdf;AXA;2264136120300;2264136120300M47;2
True;PGS_SPB_2842059410401_1.pdf;AXA;2842059410401;2842059410401C95;3
False;YPO_CAMP_LOISIRS_2260338410300_1_ABS.pdf;AXA;;;0
True;SO_FORM_2510815610000_1.pdf;AXA;2510815610000;2510815610000V11;2
True;PANKARTE_PLV_2253683210051_1.pdf;AXA;2253683210051;;0
True;FISCHER_2843960600051_1.pdf;AXA;2843960600051;2843960600051R98;3
True;LOGEMENT_OUEST_2511974210000_1.pdf;AXA;2511974210000;2511974210000W11;2
True;EROL_2263192400000_1.pdf;AXA;2263192400000;2263192400000C95;2
False;AVT_CP_CORREGE_SERVICES_2842078400100_1_8447530.pdf;AXA;;;0
True;ASSOC_SYND_RESID_HAUTEP_2259936420000_1.pdf;AXA;2259936420000;2259936420000G42;2
True;HAYS_PORTAGE_2843606410000_1.pdf;AXA;2843606410000;2843606410000F95;2
False;AVT_CP_ARECO_2599772661002_1_5171749.pdf;AXA;;;0
True;FILPACK_PROTECTION_2266127420201_1.pdf;AXA;2266127420201;2266127420201B95;2
False;AVT_CP_TMI_MULTIPLAST_2275225409010_1_8086461.pdf;AXA;;;0
True;SAPI_2260012110000_1.pdf;AXA;2260012110000;2260012110000V16;1
False;AVT_CP_CORREGE_2256419310000_1_8447248.pdf;AXA;;;0
True;TMI_MULTIPLAST_2275225409010_1.pdf;AXA;2275225409010;2275225409010W98;1
True;ALL_SOLUTIONS_2264136400100_1.pdf;AXA;2264136400100;2264136400100S95;5
True;TELEVISION_ESPANOLA_2000148548710_1.pdf;AXA;2000148548710;2000148548710P19;2
True;SCHROLL_2257752429003_1.pdf;AXA;2257752429003;2257752429003Z98;2
True;ETABLISSEMENTS_HUOT_2271750400000_1.pdf;AXA;2271750400000;2271750400000Q11;2
True;PARENTHESE_2263549620402_1.pdf;AXA;2263549620402;;0
True;PGS_BREIZH_2842057100500_1.pdf;AXA;2842057100500;2842057100500Q19;2
True;ALCISE_2271850100100_1.pdf;AXA;2271850100100;;0
True;PGS_BREIZH_2842057110400_1.pdf;AXA;2842057110400;2842057110400B50;2
True;LINK_GROUP_2840311100000_1.pdf;AXA;2840311100000;2840311100000K50;2
